gate_id,layer,module,line_range,inputs,threshold_owner,order_index,precedence,failure_mode,observability_status,contract_divergence_flag
VALIDATION_HALT,system,cuttingboard/validation.py,104-122,"quotes for config.HALT_SYMBOLS",config.HALT_SYMBOLS,0,"pre-empts every later layer; sets system_halted=True and HaltCause.VALIDATION",FAIL_CLOSED,"PERSISTED (halt_reason in audit record)",NONE
KILL_SWITCH,system,cuttingboard/runtime/__init__.py,2185-2204,"regime.vix_level; regime.vix_pct_change; SPY pct_change_decimal","runtime/__init__.py:2185-2187 KILL_SWITCH_VIX_LEVEL=35 / _VIX_PCT_CHANGE=0.15 / _SPY_PCT_CHANGE=0.03 — NOT config.py",1,"escalates to terminal HALT at runtime:931-936; reuses the validation HALT carrier; distinct kill_switch summary flag retained",FAIL_CLOSED,"PERSISTED (kill_switch summary flag; KILL_SWITCH_HALT_REASON)",THRESHOLD_OWNERSHIP_OUTSIDE_CONFIG
REGIME_SHORTCIRCUIT,system,cuttingboard/qualification.py,803-820,"regime.posture; regime.confidence; regime.total_votes",config.MIN_REGIME_CONFIDENCE,2,"qualify_all checks this first and returns immediately — no per-symbol work runs (the STAY_FLAT short-circuit)",FAIL_CLOSED,"PERSISTED (regime_short_circuited; regime_failure_reason)",DUPLICATE_IMPLEMENTATION_WITH_GATE1_GATE2
GATE1_REGIME,DIRECT,cuttingboard/qualification.py,368-377,regime.posture,"none (enum comparison to STAY_FLAT)",3,"HARD — immediate reject, no watchlist eligibility",FAIL_CLOSED,"COMPUTED_NOT_PERSISTED (gates_passed/gates_failed dropped at audit boundary)",DUPLICATE_OF_REGIME_SHORTCIRCUIT
GATE2_CONFIDENCE,DIRECT,cuttingboard/qualification.py,378-387,regime.confidence,config.MIN_REGIME_CONFIDENCE,4,"HARD — immediate reject",FAIL_CLOSED,COMPUTED_NOT_PERSISTED,DUPLICATE_OF_REGIME_SHORTCIRCUIT
GATE3_DIRECTION,DIRECT,cuttingboard/qualification.py,388-398,"regime classification; net_score; candidate.direction","none (mapping: RISK_ON->LONG, RISK_OFF->SHORT, NEUTRAL via net_score, CHAOTIC->None)",5,"HARD — immediate reject",FAIL_CLOSED,COMPUTED_NOT_PERSISTED,NONE
GATE4_STRUCTURE,DIRECT,cuttingboard/qualification.py,399-408,StructureResult classification,"none (rejects CHOP)",6,"HARD — immediate reject",FAIL_CLOSED,COMPUTED_NOT_PERSISTED,NONE
GATE5_STOP_DEFINED,DIRECT,cuttingboard/qualification.py,416-421,"candidate.stop_price; candidate.entry_price","none (stop>0 and distance>0)",7,"SOFT — 1 miss => WATCHLIST, 2+ => REJECT",FAIL_CLOSED,COMPUTED_NOT_PERSISTED,NONE
GATE6_STOP_DISTANCE,DIRECT,cuttingboard/qualification.py,422-444,"entry/stop distance; ATR14",config.MIN_STOP_PCT and config.STOP_ATR_FLOOR_K,8,SOFT,FAIL_CLOSED,COMPUTED_NOT_PERSISTED,NONE
GATE7_RR_RATIO,DIRECT,cuttingboard/qualification.py,445-459,"risk; reward; regime","config.MIN_RR_RATIO / NEUTRAL_RR_RATIO / EXPANSION_RR_RATIO via _min_rr_for_regime:339",9,SOFT,FAIL_CLOSED,COMPUTED_NOT_PERSISTED,NONE
GATE8_MAX_RISK,DIRECT,cuttingboard/qualification.py,460-497,"max loss; spread_width; regime risk multiplier",config.ACCOUNT_EQUITY and config.MAX_RISK_PCT_PER_TRADE,10,SOFT,FAIL_CLOSED,COMPUTED_NOT_PERSISTED,NONE
GATE9_EARNINGS,DIRECT,cuttingboard/qualification.py,498-507,earnings-within-5-days flag,"none (literal 5 calendar days)",11,SOFT,"FAIL_OPEN — None (unknown) or False => PASS; recorded in gates_skipped",COMPUTED_NOT_PERSISTED,NONE
GATE10_EXTENSION,DIRECT,cuttingboard/qualification.py,508-523,"price; EMA21; ATR14",config.EXTENSION_ATR_MULTIPLIER,12,SOFT,FAIL_CLOSED,COMPUTED_NOT_PERSISTED,NONE
GATE11_TIME,DIRECT,cuttingboard/qualification.py,524-540,"now_et via _is_late_session:988","none (literal 3:30 PM ET cutoff)",13,SOFT,FAIL_CLOSED,COMPUTED_NOT_PERSISTED,NONE
CONT_DATA_INCOMPLETE,CONTINUATION,cuttingboard/qualification.py,687-698,"ohlcv; derived metrics",none,C1,"CONTINUATION path has its own sequence; first failure returns _continuation_reject",FAIL_CLOSED,"PERSISTED as continuation rejection counter (_build_continuation_audit:965)",NONE
CONT_VIX_BLOCKED,CONTINUATION,cuttingboard/qualification.py,699-707,VIX pct_change,config.CONTINUATION_VIX_SPIKE_BLOCK,C2,sequential,FAIL_CLOSED,PERSISTED as counter,NONE
CONT_NO_BREAKOUT,CONTINUATION,cuttingboard/qualification.py,708-712,"lookback high",config.CONTINUATION_BREAKOUT_BARS,C3,sequential,FAIL_CLOSED,PERSISTED as counter,NONE
CONT_NO_HOLD_CONFIRMATION,CONTINUATION,cuttingboard/qualification.py,713-721,"completed candles vs breakout level",config.CONTINUATION_HOLD_CANDLES,C4,"sequential; PRD-259 R7 requires EVERY hold candle to close above the level",FAIL_CLOSED,PERSISTED as counter,NONE
CONT_INSUFFICIENT_MOMENTUM,CONTINUATION,cuttingboard/qualification.py,722-734,"candle range; ATR14",config.CONTINUATION_MOMENTUM_K,C5,"sequential; two distinct reject sites share this reason code",FAIL_CLOSED,PERSISTED as counter,TWO_SITES_ONE_REASON_CODE
CONT_EXTENDED_FROM_MEAN,CONTINUATION,cuttingboard/qualification.py,735-740,"entry vs EMA21; ATR14",config.CONTINUATION_MAX_EXTENSION_ATR,C6,sequential,FAIL_CLOSED,PERSISTED as counter,NONE
CONT_STOP_TOO_TIGHT,CONTINUATION,cuttingboard/qualification.py,741-753,"structural breakout level as stop anchor","none — STOP_ATR_FLOOR_K deliberately NOT applied (PRD-240 R6)",C7,sequential,FAIL_CLOSED,PERSISTED as counter,ASYMMETRIC_WITH_GATE6
CONT_RR_BELOW_THRESHOLD,CONTINUATION,cuttingboard/qualification.py,754-762,"risk; reward",config.CONTINUATION_REWARD_ATR_MULTIPLE and config.EXPANSION_RR_RATIO,C8,sequential,FAIL_CLOSED,PERSISTED as counter,NONE
CONT_TIME_BLOCKED,CONTINUATION,cuttingboard/qualification.py,763-800,now_et,"none (literal cutoff)",C9,sequential,FAIL_CLOSED,PERSISTED as counter,NONE
PULLBACK_IMBALANCE_UPGRADE,POST_HOC,cuttingboard/qualification.py,823-889,"already-qualified DIRECT result; FVG zone via detect_fvg:584","config.FVG_DISPLACEMENT_K / FVG_GAP_K / FVG_PROXIMITY_K / FVG_LOOKBACK_CANDLES",P1,"applied AFTER DIRECT qualification completes — mutates an already-qualified result's entry_mode",N/A (upgrade not a reject),"PARTIAL (entry_mode persisted; imbalance_zone not traced to audit record)",POST_HOC_MUTATION_OF_QUALIFIED_RESULT
DEC1_MATERIALIZE,DECISION,cuttingboard/trade_decision.py,via runtime/__init__.py:663-670,"candidate; qualification result; option setup; chain validation result",none,D1,"step 1 of the five-step chain per docs/architecture.md section 4",N/A,"PERSISTED (trade_decisions in audit record)",COUNTED_AS_GATE_IN_DOCSTRING
DEC2_EXECUTION_POLICY,DECISION,cuttingboard/execution_policy.py,via runtime/__init__.py:672-683,"regime; posture; confidence; session state; ORB states; overall macro pressure",config.EXECUTION_POLICY_MAX_TRADES_PER_DAY and config.EXECUTION_POLICY_COOLDOWN_MINUTES,D2,"final deterministic ALLOW/BLOCK + sizing pass; does not execute orders",FAIL_CLOSED,"PERSISTED (decision status; block_reason)",NONE
DEC3_THESIS,DECISION,cuttingboard/trade_thesis.py,via runtime/__init__.py:684-690,"candidates; qualification; execution structure; overall pressure",none traced,D3,"INCOMPLETE/CONFLICTED thesis converts ALLOW_TRADE -> BLOCK_TRADE",FAIL_CLOSED,"PERSISTED (block_reason)",NONE
DEC4_INVALIDATION,DECISION,cuttingboard/invalidation.py,via runtime/__init__.py:691-695,"thesis map; overall pressure",none traced,D4,"TRIGGERED invalidation converts ALLOW_TRADE -> BLOCK_TRADE",FAIL_CLOSED,"PERSISTED (block_reason)",NONE
DEC5_ENTRY_QUALITY,DECISION,cuttingboard/entry_quality.py,via runtime/__init__.py:696-702,"candidates; qualification; execution structure; thesis map",none traced,D5,"chase filter; extended/stale/chased entries convert ALLOW_TRADE -> BLOCK_TRADE",FAIL_CLOSED,"PERSISTED (block_reason)",NONE
OUTCOME_DERIVATION,TERMINAL,cuttingboard/runtime/__init__.py,710-716,"trade_decisions via decision_is_actionable (trade_decision.py:119)","none (tradable symbol AND ALLOW_TRADE AND size_multiplier>0)",T1,"outcome=TRADE iff any actionable decision, else NO_TRADE; HALT set upstream",N/A,"PERSISTED (outcome)",NOT_A_GATE_NOT_COUNTED_IN_FIVE
