gate_id,layer,eligibility,finding_refs,basis,attribution_constraint_for_EA10_EA11
VALIDATION_HALT,system,ELIGIBLE,N-02,"Fail-closed behaviour demonstrated: missing HALT_SYMBOL yields HALT with the correct distinct halt_reason and kill_switch=False (fixture EA5-F04); malformed price likewise (EA5-F05)",none
KILL_SWITCH,system,CONDITIONAL(EA5-008),"N-01; EA5-008; EA5-009","Boundary behaviour VERIFIED correct on all three legs at and above threshold (6 fixtures, strict > upheld). Conditional solely because missing stress evidence defaults to 0.0 rather than unknown; consequence UNKNOWN and reachability blocked by HALT_SYMBOLS validation","Treat a False kill_switch on any run with incomplete stress inputs as unestablished rather than benign"
REGIME_SHORTCIRCUIT,system,CONDITIONAL(EA5-005),EA5-005,"Short-circuit behaviour correct and claim upheld; conditional only because Gates 1-2 exist in a second implementation reading the same threshold",Attribute the system-level regime decision separately from the per-candidate copies
GATE1_REGIME,DIRECT,CONDITIONAL(EA5-005),"EA5-005; EA5-002","Duplicated implementation (consequence UNKNOWN) and per-gate result not persisted",Per-gate pass/fail not recoverable from the durable record
GATE2_CONFIDENCE,DIRECT,CONDITIONAL(EA5-005),"EA5-005; EA5-002","Duplicated implementation (consequence UNKNOWN) and per-gate result not persisted",Per-gate pass/fail not recoverable from the durable record
GATE3_DIRECTION,DIRECT,CONDITIONAL(EA5-002),EA5-002,"No correctness defect found; per-gate result computed then discarded at the audit boundary",Cannot be attributed until the per-gate vector is persisted
GATE4_STRUCTURE,DIRECT,CONDITIONAL(EA5-002),EA5-002,"No correctness defect found; per-gate result computed then discarded",Cannot be attributed until the per-gate vector is persisted
GATE5_STOP_DEFINED,DIRECT,CONDITIONAL(EA5-002),EA5-002,"No correctness defect found; per-gate result computed then discarded",Cannot be attributed until the per-gate vector is persisted
GATE6_STOP_DISTANCE,DIRECT,CONDITIONAL(EA5-002),"EA5-002; EA5-010","No correctness defect found; per-gate result discarded; enforces the ATR floor that the CONTINUATION path omits","Do not pool with CONT_STOP_TOO_TIGHT; different stop geometry"
GATE7_RR_RATIO,DIRECT,CONDITIONAL(EA5-002),EA5-002,"No correctness defect found; per-gate result discarded; regime-tiered threshold via _min_rr_for_regime",Cannot be attributed until the per-gate vector is persisted
GATE8_MAX_RISK,DIRECT,CONDITIONAL(EA5-002),EA5-002,"No correctness defect found; per-gate result discarded",Cannot be attributed until the per-gate vector is persisted
GATE9_EARNINGS,DIRECT,CONDITIONAL(EA5-002),EA5-002,"Fail-open by design and correctly recorded in gates_skipped in memory; the skip is not persisted","A pass cannot be distinguished from a skip in the durable record — do not count as a passing gate"
GATE10_EXTENSION,DIRECT,CONDITIONAL(EA5-002),EA5-002,"No correctness defect found; per-gate result discarded",Cannot be attributed until the per-gate vector is persisted
GATE11_TIME,DIRECT,CONDITIONAL(EA5-002),EA5-002,"No correctness defect found; per-gate result discarded; literal 3:30 PM ET cutoff has no named constant",Cannot be attributed until the per-gate vector is persisted
CONT_DATA_INCOMPLETE,CONTINUATION,CONDITIONAL(EA5-010),EA5-010,"Rejection reason IS aggregated into a per-reason counter, so observability is better than the DIRECT path; conditional on path comparability",Attribute CONTINUATION separately from DIRECT unless comparability is established
CONT_VIX_BLOCKED,CONTINUATION,CONDITIONAL(EA5-010),EA5-010,"Reason aggregated into a counter; conditional on path comparability",Attribute separately from DIRECT
CONT_NO_BREAKOUT,CONTINUATION,CONDITIONAL(EA5-010),EA5-010,"Reason aggregated into a counter; conditional on path comparability",Attribute separately from DIRECT
CONT_NO_HOLD_CONFIRMATION,CONTINUATION,CONDITIONAL(EA5-010),EA5-010,"Reason aggregated into a counter; PRD-259 R7 every-candle rule verified in source",Attribute separately from DIRECT
CONT_INSUFFICIENT_MOMENTUM,CONTINUATION,CONDITIONAL(EA5-010),EA5-010,"Reason aggregated into a counter; two distinct reject sites share this one reason code, so a counter cannot distinguish them",Do not treat the counter as identifying a single condition
CONT_EXTENDED_FROM_MEAN,CONTINUATION,CONDITIONAL(EA5-010),EA5-010,"Reason aggregated into a counter; conditional on path comparability",Attribute separately from DIRECT
CONT_STOP_TOO_TIGHT,CONTINUATION,CONDITIONAL(EA5-010),EA5-010,"Deliberate, documented omission of the ATR stop floor (PRD-240 R6) — reclassified from defect to design asymmetry","Do not pool with GATE6_STOP_DISTANCE; different stop geometry by design"
CONT_RR_BELOW_THRESHOLD,CONTINUATION,CONDITIONAL(EA5-010),EA5-010,"Reason aggregated into a counter; threshold is a fixed ATR multiple functioning as a stop-width ceiling, not a calibrated target (PRD-240 R3)","Do not interpret as a calibrated reward estimate"
CONT_TIME_BLOCKED,CONTINUATION,CONDITIONAL(EA5-010),EA5-010,"Reason aggregated into a counter; conditional on path comparability",Attribute separately from DIRECT
PULLBACK_IMBALANCE_UPGRADE,POST_HOC,CONDITIONAL(EA5-002),EA5-002,"Not a reject gate — a post-hoc upgrade mutating an already-qualified DIRECT result. entry_mode is persisted; imbalance_zone was not traced to the audit record","An upgraded candidate is not a fresh qualification — do not double-count against DIRECT"
DEC1_MATERIALIZE,DECISION,ELIGIBLE,none,"Constructor, not a pass/fail gate; counted as step 1 of the five-step chain per docs/architecture.md section 4. Chain-validation result enters here. trade_decisions persisted",Record that it cannot reject; it can only materialize
DEC2_EXECUTION_POLICY,DECISION,ELIGIBLE,none,"No defect found; decision status and block_reason persisted in the audit record",none
DEC3_THESIS,DECISION,ELIGIBLE,none,"No defect found; ALLOW_TRADE to BLOCK_TRADE conversion recorded via block_reason",none
DEC4_INVALIDATION,DECISION,ELIGIBLE,none,"No defect found; conversion recorded via block_reason",none
DEC5_ENTRY_QUALITY,DECISION,ELIGIBLE,none,"No defect found; conversion recorded via block_reason",none
OUTCOME_DERIVATION,TERMINAL,CONDITIONAL(EA5-001),EA5-001,"Derivation itself is correct and agrees with the payload top_trades gate; conditional because a designed HALT is reported as summary status FAIL with process exit 1, indistinguishable from an unhandled-exception HALT","Do not treat exit code or summary status as evidence of run health; read outcome and halt_cause instead"
